date,rate
2003-11-01,4.25
2003-12-01,4.375
2004-01-01,4.25
2004-02-01,4.25
2004-03-01,4.25
2004-04-01,4.125
2004-05-01,4
2004-06-01,4.125
2004-07-01,4.25
2004-08-01,4.625
2004-09-01,4.625
2004-10-01,4.5
2004-11-01,4.25
2004-12-01,4.125
2005-01-01,4.125
2005-02-01,4.125
2005-03-01,4.25
2005-04-01,4.25
2005-05-01,4.25
2005-06-01,4.375
2005-07-01,4.375
2005-08-01,4.125
2005-09-01,4.125
2005-10-01,4.125
2005-11-01,4.25
2005-12-01,4.25
2006-01-01,4.375
2006-02-01,4.5
2006-03-01,4.5
2006-04-01,5.125
2006-05-01,5.375
2006-06-01,5.5
2006-07-01,5.625
2006-08-01,5.75
2006-09-01,5.625
2006-10-01,5.375
2006-11-01,5.25
2006-12-01,5.25
2007-01-01,5.125
2007-02-01,5.125
2007-03-01,5.25
2007-04-01,5.125
2007-05-01,5.125
2007-06-01,5.25
2007-07-01,5.5
2007-08-01,5.625
2007-09-01,5.625
2007-10-01,5.25
2007-11-01,5.25
2007-12-01,5.125
2008-01-01,4.875
2008-02-01,4.625
2008-03-01,4.375
2008-04-01,4.375
2008-05-01,4.25
2008-06-01,4.375
2008-07-01,4.625
2008-08-01,4.75
2008-09-01,4.625
2008-10-01,4.5
2008-11-01,4.375
2008-12-01,4.25
2009-01-01,3.5
2009-02-01,2.625
2009-03-01,2.75
2009-04-01,3.125
2009-05-01,3.125
2009-06-01,3.536
2009-07-01,3.625
2009-08-01,3.875
2009-09-01,3.75
2009-10-01,3.75
2009-11-01,3.5
2009-12-01,3.5
2010-01-01,3.625
2010-02-01,3.75
2010-03-01,3.875
2010-04-01,3.75
2010-05-01,3.75
2010-06-01,3.75
2010-07-01,3.5
2010-08-01,3.125
2010-09-01,2.875
2010-10-01,2.75
2010-11-01,2.625
2010-12-01,2.625
2011-01-01,3.125
2011-02-01,3.375
2011-03-01,3.5
2011-04-01,3.625
2011-05-01,3.5
2011-06-01,3.375
2011-07-01,3.25
2011-08-01,3.125
2011-09-01,2.875
2011-10-01,2.375
2011-11-01,2.5
2011-12-01,2.25
2012-01-01,2.15
2012-02-01,2.125
2012-03-01,2.125
2012-04-01,2.125
2012-05-01,2.125
2012-06-01,2.125
2012-07-01,1.875
2012-08-01,1.75
2012-09-01,1.75
2012-10-01,1.75
2012-11-01,1.75
2012-12-01,1.75
2013-01-01,1.75
2013-02-01,1.75
2013-03-01,2
2013-04-01,2
2013-05-01,2
2013-06-01,2
2013-07-01,2.205
2013-08-01,2.625
2013-09-01,2.875
2013-10-01,3
2013-11-01,2.875
2013-12-01,2.75
2014-01-01,2.875
2014-02-01,3
2014-03-01,2.875
2014-04-01,2.875
2014-05-01,2.875
2014-06-01,2.75
2014-07-01,2.625
2014-08-01,2.625
2014-09-01,2.625
2014-10-01,2.625
2014-11-01,2.5
2014-12-01,2.5
2015-01-01,2.375
2015-02-01,2.25
2015-03-01,2
2015-04-01,2.125
2015-05-01,2.125
2015-06-01,2.125
2015-07-01,2.25
2015-08-01,2.5
2015-09-01,2.375
2015-10-01,2.25
2015-11-01,2.125
2015-12-01,2.125
2016-01-01,2.125
2016-02-01,2.125
2016-03-01,1.875
2016-04-01,1.75
2016-05-01,1.75
2016-06-01,1.8
2016-07-01,1.625
2016-08-01,1.5
2016-09-01,1.375
2016-10-01,1.5
2016-11-01,1.5
2016-12-01,1.625
2017-01-01,2.125
2017-02-01,2.375
2017-03-01,2.375
2017-04-01,2.375
2017-05-01,2.375
2017-06-01,2.25
2017-07-01,2.25
2017-08-01,2.25
2017-09-01,2.25
2017-10-01,2.125
2017-11-01,2.25
2017-12-01,2.375
2018-01-01,2.375
2018-02-01,2.5
2018-03-01,2.625
2018-04-01,2.875
2018-05-01,2.875
2018-06-01,2.875
2018-07-01,3
2018-08-01,3
2018-09-01,3
2018-10-01,3
2018-11-01,3.125
2018-12-01,3.25
2019-01-01,3.125
2019-02-01,2.875
2019-03-01,2.75
2019-04-01,2.625
2019-05-01,2.625
2019-06-01,2.5
2019-07-01,2.25
2019-08-01,2
2019-09-01,1.875
2019-10-01,1.625
2019-11-01,1.625
2019-12-01,1.75
2020-01-01,1.75
2020-02-01,1.75
2020-03-01,2.2
2020-04-01,1.7
2020-05-01,1.325
2020-06-01,1.259
2020-07-01,1.209
2020-08-01,1.600
